X,Y,Z
0,0,255.0
119,115,10.87
119,115,11.36
118,115,11.9
118,115,12.5
118,115,13.16
117,115,13.89
116,115,14.71
116,115,15.63
115,114,16.67
116,116,14.71
118,119,11.9
118,119,11.9
0,0,250.0
123,124,6.1
122,124,6.41
122,124,6.58
122,124,6.58
116,121,15.63
114,121,17.86
112,120,20.83
109,120,25.0
105,120,31.25
97,119,41.67
91,119,50.0
67,117,83.33
0,107,250.0
0,117,255.0
0,127,255.0
0,137,255.0
0,147,255.0
0,158,255.0
0,168,255.0
0,178,255.0
0,188,255.0
0,198,255.0
118,131,13.16
0,219,255.0
91,147,50.0
113,135,19.23
91,151,50.0
82,160,62.5
67,174,83.33
37,202,125.0
101,150,35.71
82,170,62.5
37,217,125.0
0,255,250.0
0,255,255.0
0,255,255.0
0,255,255.0
0,255,255.0
0,255,255.0
0,255,255.0
0,255,255.0
0,255,255.0
0,0,255.0
120,115,10.87
119,115,11.36
119,115,11.9
119,115,12.5
118,115,13.16
118,115,13.89
117,115,14.71
116,115,15.63
115,113,17.86
119,118,11.9
119,119,11.36
99,100,41.67
119,120,11.36
123,124,6.1
119,121,11.9
119,121,12.5
123,124,6.58
117,121,14.71
116,121,16.67
114,121,19.23
112,121,22.73
108,120,27.78
103,120,35.71
93,119,50.0
85,120,62.5
42,117,125.0
0,117,255.0
0,127,255.0
0,137,255.0
0,147,255.0
0,158,255.0
0,168,255.0
0,178,255.0
0,188,255.0
0,198,255.0
118,131,13.16
118,132,13.89
116,133,15.63
85,155,62.5
113,137,20.83
85,160,62.5
70,174,83.33
42,202,125.0
103,150,35.71
93,161,50.0
42,217,125.0
0,255,250.0
0,255,255.0
0,255,255.0
0,255,255.0
0,255,255.0
0,255,255.0
0,255,255.0
0,255,255.0
0,255,255.0
121,116,10.0
120,116,10.42
120,116,10.87
120,116,11.36
119,116,11.9
119,116,12.5
119,115,13.16
118,115,13.89
118,115,14.71
119,118,12.5
120,119,11.36
107,106,31.25
0,0,250.0
123,123,5.95
123,124,6.1
119,121,11.9
119,121,12.5
119,121,13.16
123,124,6.76
117,121,15.63
116,121,17.86
114,121,20.83
111,121,25.0
107,121,31.25
100,120,41.67
95,121,50.0
74,120,83.33
0,117,250.0
0,127,255.0
0,137,255.0
0,147,255.0
0,158,255.0
0,168,255.0
0,178,255.0
0,188,255.0
0,198,255.0
119,131,13.16
118,132,13.89
118,133,14.71
116,134,16.67
74,167,83.33
112,139,22.73
74,174,83.33
47,202,125.0
47,207,125.0
47,212,125.0
74,187,83.33
47,222,125.0
0,255,250.0
0,255,255.0
0,255,255.0
0,255,255.0
0,255,255.0
0,255,255.0
0,255,255.0
0,255,255.0
121,116,10.0
121,116,10.42
120,116,10.87
120,116,11.36
120,116,11.9
120,116,12.5
119,115,13.16
119,115,13.89
118,115,14.71
120,118,11.9
113,111,22.73
120,120,10.87
52,47,125.0
120,120,10.87
120,121,11.36
120,121,11.9
123,124,6.41
123,124,6.58
119,121,13.89
118,121,15.63
116,121,17.86
115,121,20.83
112,121,25.0
108,121,31.25
106,121,35.71
97,121,50.0
90,122,62.5
52,122,125.0
0,127,255.0
0,137,255.0
0,147,255.0
0,158,255.0
0,168,255.0
0,178,255.0
0,188,255.0
0,198,255.0
0,209,255.0
119,132,13.89
118,133,14.71
118,134,15.63
116,136,17.86
52,192,125.0
112,141,25.0
77,177,83.33
52,207,125.0
52,212,125.0
77,187,83.33
52,222,125.0
0,255,250.0
0,255,255.0
0,255,255.0
0,255,255.0
0,255,255.0
0,255,255.0
0,255,255.0
0,255,255.0
121,116,10.0
121,116,10.42
121,116,10.87
121,116,11.36
120,116,11.9
120,116,12.5
120,115,13.16
119,115,13.89
119,115,14.71
120,118,11.9
114,111,22.73
121,120,10.87
104,100,41.67
121,120,10.87
121,121,11.36
120,121,11.9
123,124,6.41
123,124,6.58
119,121,13.89
119,122,14.71
118,122,16.67
116,122,19.23
114,122,22.73
111,121,27.78
107,121,35.71
104,122,41.67
92,122,62.5
80,124,83.33
0,127,250.0
0,137,255.0
0,147,255.0
0,158,255.0
0,168,255.0
0,178,255.0
0,188,255.0
0,198,255.0
0,209,255.0
119,132,13.89
119,133,14.71
118,134,15.63
118,135,16.67
116,137,19.23
57,197,125.0
80,177,83.33
57,207,125.0
57,212,125.0
57,217,125.0
57,222,125.0
0,255,250.0
0,255,255.0
0,255,255.0
0,255,255.0
0,255,255.0
0,255,255.0
0,255,255.0
0,255,255.0
122,116,10.0
122,116,10.42
121,116,10.87
121,116,11.36
121,116,11.9
121,116,12.5
120,115,13.16
120,115,13.89
119,115,14.71
121,118,11.36
115,111,22.73
0,0,255.0
62,47,125.0
121,120,10.87
121,121,11.36
121,121,11.9
121,121,11.9
121,122,12.5
120,122,13.16
119,122,14.71
118,122,16.67
117,122,19.23
116,122,20.83
114,122,25.0
111,122,31.25
105,122,41.67
95,122,62.5
84,124,83.33
0,127,250.0
0,137,255.0
0,147,255.0
0,158,255.0
0,168,255.0
0,178,255.0
0,188,255.0
0,198,255.0
0,209,255.0
0,219,255.0
119,133,14.71
119,134,15.63
118,135,16.67
118,136,17.86
0,255,255.0
113,144,27.78
108,150,35.71
62,212,125.0
84,187,83.33
62,222,125.0
0,255,250.0
0,255,255.0
0,255,255.0
0,255,255.0
0,255,255.0
0,255,255.0
0,255,255.0
0,255,255.0
122,116,10.0
122,116,10.42
122,116,10.87
122,116,11.36
121,116,11.9
121,116,12.5
121,115,13.16
120,115,13.89
120,115,14.71
122,118,11.36
116,111,22.73
5,0,255.0
87,74,83.33
122,120,10.87
122,121,11.36
121,121,11.9
121,121,11.9
121,122,12.5
121,122,13.16
120,122,13.89
120,122,15.63
118,122,17.86
117,122,20.83
115,122,25.0
112,122,31.25
107,122,41.67
103,123,50.0
87,124,83.33
7,127,250.0
5,137,255.0
5,147,255.0
5,158,255.0
5,168,255.0
5,178,255.0
5,188,255.0
5,198,255.0
5,209,255.0
5,219,255.0
120,133,14.71
120,134,15.63
119,135,16.67
118,136,17.86
118,138,19.23
115,142,25.0
87,180,83.33
87,184,83.33
87,187,83.33
67,222,125.0
7,255,250.0
5,255,255.0
5,255,255.0
5,255,255.0
5,255,255.0
5,255,255.0
5,255,255.0
5,255,255.0
123,116,10.0
122,116,10.42
122,116,10.87
122,116,11.36
122,116,11.9
122,116,12.5
121,115,13.16
121,115,13.89
121,115,14.71
119,112,19.23
122,120,10.42
15,0,255.0
100,87,62.5
122,120,10.87
122,121,11.36
122,121,11.36
122,121,11.9
122,122,12.5
121,122,13.16
121,122,13.89
120,122,15.63
119,122,17.86
119,122,19.23
117,122,22.73
115,123,27.78
109,122,41.67
105,123,50.0
90,124,83.33
17,127,250.0
15,137,255.0
15,147,255.0
15,158,255.0
15,168,255.0
15,178,255.0
15,188,255.0
15,198,255.0
15,209,255.0
15,219,255.0
15,229,255.0
120,134,15.63
120,135,16.67
119,136,17.86
119,138,19.23
117,141,22.73
72,207,125.0
105,161,50.0
90,187,83.33
72,222,125.0
17,255,250.0
15,255,255.0
15,255,255.0
15,255,255.0
15,255,255.0
15,255,255.0
15,255,255.0
15,255,255.0
123,116,10.0
123,116,10.42
123,116,10.87
122,116,11.36
122,116,11.9
122,116,12.5
122,115,13.16
121,115,13.89
122,118,11.36
119,111,20.83
123,120,10.0
94,70,83.33
107,95,50.0
102,90,62.5
94,80,83.33
122,121,11.36
122,121,11.9
122,122,12.5
122,122,13.16
121,122,13.89
121,122,14.71
120,122,16.67
119,122,19.23
118,122,22.73
116,123,27.78
113,123,35.71
107,123,50.0
94,124,83.33
25,127,255.0
25,137,255.0
25,147,255.0
25,158,255.0
25,168,255.0
25,178,255.0
25,188,255.0
25,198,255.0
25,209,255.0
25,219,255.0
25,229,255.0
25,239,255.0
120,135,16.67
120,136,17.86
119,138,19.23
119,140,20.83
117,143,25.0
77,212,125.0
94,187,83.33
77,222,125.0
27,255,250.0
25,255,255.0
25,255,255.0
25,255,255.0
25,255,255.0
25,255,255.0
25,255,255.0
25,255,255.0
123,115,10.42
123,115,10.87
123,115,11.36
123,115,11.9
123,115,12.5
122,115,13.16
122,115,13.89
122,115,14.71
123,119,10.0
119,110,22.73
117,107,27.78
112,99,41.67
109,95,50.0
105,90,62.5
97,80,83.33
123,121,11.36
123,121,11.9
123,122,12.5
122,122,13.16
122,122,13.89
122,122,14.71
121,122,16.67
121,123,17.86
120,123,20.83
118,123,25.0
114,123,35.71
109,123,50.0
97,124,83.33
35,127,255.0
35,137,255.0
35,147,255.0
35,158,255.0
35,168,255.0
35,178,255.0
35,188,255.0
35,198,255.0
35,209,255.0
35,219,255.0
35,229,255.0
35,239,255.0
35,249,255.0
121,136,17.86
120,138,19.23
120,140,20.83
119,142,22.73
117,146,27.78
112,157,41.67
97,190,83.33
82,227,125.0
37,255,250.0
35,255,255.0
35,255,255.0
35,255,255.0
35,255,255.0
35,255,255.0
35,255,255.0
124,116,9.62
124,116,10.0
124,116,10.42
124,116,10.87
123,116,11.36
123,116,11.9
123,116,12.5
124,118,10.87
124,119,9.62
45,0,255.0
107,82,62.5
114,99,41.67
111,95,50.0
107,90,62.5
100,80,83.33
123,121,11.36
123,121,11.9
123,122,12.5
123,122,13.16
123,122,13.89
122,122,14.71
122,123,15.63
121,123,17.86
120,123,20.83
119,123,25.0
117,123,31.25
111,123,50.0
100,124,83.33
45,127,255.0
45,137,255.0
45,147,255.0
45,158,255.0
45,168,255.0
45,178,255.0
45,188,255.0
45,198,255.0
45,209,255.0
45,219,255.0
45,229,255.0
45,239,255.0
45,249,255.0
121,136,17.86
121,138,19.23
120,140,20.83
120,142,22.73
119,144,25.0
118,147,27.78
114,159,41.67
87,227,125.0
47,255,250.0
45,255,255.0
45,255,255.0
45,255,255.0
45,255,255.0
45,255,255.0
45,255,255.0
124,116,9.62
124,116,10.0
124,116,10.42
124,116,10.87
124,116,11.36
124,116,11.9
124,116,12.5
124,119,10.0
121,110,20.83
92,32,125.0
115,97,41.67
115,99,41.67
113,95,50.0
110,90,62.5
124,121,10.87
124,121,11.36
124,121,11.9
124,122,12.5
123,122,13.16
123,122,13.16
123,123,13.89
123,123,15.63
122,123,16.67
122,123,19.23
121,123,22.73
119,124,27.78
115,124,41.67
104,124,83.33
56,127,255.0
56,137,255.0
56,147,255.0
56,158,255.0
56,168,255.0
56,178,255.0
56,188,255.0
56,198,255.0
56,209,255.0
56,219,255.0
56,229,255.0
56,239,255.0
56,249,255.0
56,255,255.0
122,138,19.23
121,140,20.83
121,142,22.73
120,144,25.0
119,147,27.78
118,151,31.25
113,167,50.0
57,255,250.0
56,255,255.0
56,255,255.0
56,255,255.0
56,255,255.0
56,255,255.0
56,255,255.0
125,117,9.26
125,117,9.62
125,117,10.0
125,117,10.42
124,117,10.87
124,117,11.36
124,115,13.89
123,112,17.86
67,0,250.0
112,80,62.5
117,97,41.67
117,99,41.67
115,95,50.0
112,90,62.5
124,121,10.87
124,121,11.36
124,121,11.9
124,122,12.5
124,122,12.5
124,122,13.16
124,123,13.89
123,123,14.71
123,123,16.67
122,123,19.23
122,124,20.83
121,124,25.0
117,124,41.67
107,124,83.33
66,127,255.0
66,137,255.0
66,147,255.0
66,158,255.0
66,168,255.0
66,178,255.0
66,188,255.0
66,198,255.0
66,209,255.0
66,219,255.0
66,229,255.0
66,239,255.0
66,249,255.0
66,255,255.0
122,138,19.23
122,140,20.83
122,142,22.73
121,144,25.0
120,147,27.78
120,151,31.25
118,156,35.71
107,197,83.33
66,255,255.0
66,255,255.0
66,255,255.0
66,255,255.0
66,255,255.0
66,255,255.0
125,117,9.26
125,117,9.62
125,117,10.0
125,117,10.42
125,117,10.87
125,118,10.0
124,113,15.63
76,0,255.0
110,60,83.33
121,106,27.78
119,97,41.67
117,93,50.0
117,95,50.0
115,90,62.5
125,121,10.87
125,121,11.36
125,121,11.9
125,122,11.9
125,122,12.5
124,122,13.16
124,123,13.89
124,123,14.71
124,123,15.63
123,123,17.86
123,124,20.83
122,124,25.0
121,125,31.25
115,125,62.5
76,127,255.0
76,137,255.0
76,147,255.0
76,158,255.0
76,168,255.0
76,178,255.0
76,188,255.0
76,198,255.0
76,209,255.0
76,219,255.0
76,229,255.0
76,239,255.0
76,249,255.0
76,255,255.0
123,138,19.23
123,140,20.83
122,142,22.73
122,144,25.0
121,147,27.78
121,151,31.25
120,156,35.71
115,180,62.5
76,255,255.0
76,255,255.0
76,255,255.0
76,255,255.0
76,255,255.0
76,255,255.0
126,117,8.93
126,117,9.26
125,117,9.62
125,117,10.0
125,117,10.87
126,119,8.93
125,113,15.63
126,120,8.62
119,87,50.0
123,106,27.78
119,91,50.0
119,93,50.0
117,87,62.5
117,90,62.5
114,80,83.33
107,62,125.0
87,7,250.0
125,122,11.9
125,122,12.5
125,122,13.16
125,123,13.89
125,123,14.71
125,123,15.63
124,123,17.86
124,124,19.23
123,124,22.73
122,125,31.25
117,125,62.5
86,127,255.0
86,137,255.0
86,147,255.0
86,158,255.0
86,168,255.0
86,178,255.0
86,188,255.0
86,198,255.0
86,209,255.0
86,219,255.0
86,229,255.0
86,239,255.0
86,249,255.0
86,255,255.0
86,255,255.0
124,140,20.83
123,142,22.73
123,144,25.0
123,147,27.78
122,151,31.25
121,156,35.71
119,169,50.0
86,255,255.0
86,255,255.0
86,255,255.0
86,255,255.0
86,255,255.0
86,255,255.0
126,117,8.93
126,117,9.26
126,117,9.62
126,117,10.0
126,118,9.26
126,119,8.33
125,113,15.63
121,85,50.0
122,94,41.67
121,89,50.0
123,105,31.25
120,85,62.5
120,87,62.5
120,90,62.5
117,80,83.33
112,62,125.0
126,122,11.36
126,122,11.9
126,122,12.5
125,122,13.16
125,123,13.89
125,123,14.71
125,123,15.63
125,124,16.67
125,124,19.23
124,124,22.73
124,125,27.78
122,125,41.67
97,127,250.0
96,137,255.0
96,147,255.0
96,158,255.0
96,168,255.0
96,178,255.0
96,188,255.0
96,198,255.0
96,209,255.0
96,219,255.0
96,229,255.0
96,239,255.0
96,249,255.0
96,255,255.0
96,255,255.0
125,140,20.83
124,142,22.73
124,144,25.0
124,147,27.78
123,151,31.25
123,156,35.71
122,162,41.67
96,255,255.0
96,255,255.0
96,255,255.0
96,255,255.0
96,255,255.0
96,255,255.0
126,117,8.93
126,117,9.26
126,117,9.62
126,117,10.0
126,119,8.62
107,0,255.0
126,114,14.71
124,92,41.67
125,112,19.23
123,89,50.0
126,120,9.26
125,108,27.78
122,87,62.5
122,90,62.5
120,80,83.33
117,62,125.0
126,122,11.36
126,122,11.9
126,122,12.5
126,122,13.16
126,123,13.89
126,123,14.71
126,123,15.63
126,124,16.67
126,124,17.86
125,125,20.83
125,125,25.0
124,126,35.71
117,127,125.0
107,137,255.0
107,147,255.0
107,158,255.0
107,168,255.0
107,178,255.0
107,188,255.0
107,198,255.0
107,209,255.0
107,219,255.0
107,229,255.0
107,239,255.0
107,249,255.0
107,255,255.0
107,255,255.0
125,140,20.83
125,142,22.73
125,144,25.0
125,147,27.78
125,151,31.25
124,156,35.71
124,162,41.67
107,255,255.0
107,255,255.0
107,255,255.0
107,255,255.0
107,255,255.0
107,255,255.0
127,117,8.93
127,117,9.26
127,117,9.62
127,117,10.0
127,119,8.33
117,0,250.0
125,72,62.5
126,114,15.63
125,94,41.67
125,89,50.0
125,82,62.5
126,112,22.73
125,87,62.5
126,108,31.25
124,80,83.33
122,62,125.0
127,122,11.36
127,122,11.9
127,122,12.5
126,122,13.16
126,123,13.89
126,123,13.89
126,123,14.71
126,124,16.67
126,124,17.86
126,125,20.83
126,125,22.73
126,126,27.78
125,127,62.5
117,137,250.0
117,147,255.0
117,158,255.0
117,168,255.0
117,178,255.0
117,188,255.0
117,198,255.0
117,209,255.0
117,219,255.0
117,229,255.0
117,239,255.0
117,249,255.0
117,255,255.0
117,255,255.0
117,255,255.0
126,142,22.73
126,144,25.0
126,147,27.78
126,151,31.25
126,156,35.71
125,162,41.67
117,255,255.0
117,255,255.0
117,255,255.0
117,255,255.0
117,255,255.0
117,255,255.0
127,117,8.93
127,117,9.26
127,117,9.62
127,117,10.0
127,116,11.36
127,0,250.0
127,72,62.5
127,92,41.67
127,94,41.67
127,80,62.5
127,82,62.5
127,85,62.5
127,112,22.73
127,77,83.33
127,92,62.5
