X,Y,Z
127,101,50.0
127,122,11.36
127,122,11.9
127,122,12.5
127,122,13.16
127,123,13.16
127,123,13.89
127,123,14.71
127,124,15.63
127,124,17.86
127,125,19.23
127,125,22.73
127,126,27.78
127,127,35.71
127,130,83.33
127,147,250.0
127,158,255.0
127,168,255.0
127,178,255.0
127,188,255.0
127,198,255.0
127,209,255.0
127,219,255.0
127,229,255.0
127,239,255.0
127,249,255.0
127,255,255.0
127,255,255.0
127,255,255.0
127,255,255.0
127,255,255.0
127,255,255.0
127,255,255.0
127,255,255.0
127,255,255.0
127,255,255.0
127,255,255.0
127,255,255.0
127,255,255.0
127,255,255.0
127,255,255.0
127,117,8.62
127,117,8.93
127,117,9.26
127,117,9.62
127,119,8.33
137,0,255.0
130,72,62.5
129,85,50.0
129,87,50.0
128,114,16.67
130,82,62.5
130,85,62.5
130,74,83.33
130,77,83.33
130,80,83.33
130,84,83.33
129,107,41.67
130,100,62.5
130,94,83.33
132,82,125.0
128,123,13.16
128,123,13.89
128,123,14.71
128,124,15.63
128,124,16.67
128,125,19.23
128,125,20.83
128,126,25.0
128,127,31.25
130,130,62.5
137,147,255.0
137,158,255.0
137,168,255.0
137,178,255.0
137,188,255.0
137,198,255.0
137,209,255.0
137,219,255.0
137,229,255.0
137,239,255.0
137,249,255.0
137,255,255.0
137,255,255.0
137,255,255.0
137,255,255.0
137,255,255.0
137,255,255.0
137,255,255.0
137,255,255.0
137,255,255.0
137,255,255.0
137,255,255.0
137,255,255.0
137,255,255.0
137,255,255.0
137,255,255.0
128,117,8.62
128,117,8.93
128,117,9.26
128,117,9.62
128,119,8.06
147,0,250.0
132,72,62.5
131,85,50.0
131,87,50.0
132,80,62.5
132,82,62.5
129,114,19.23
134,74,83.33
134,77,83.33
134,80,83.33
134,84,83.33
134,87,83.33
134,90,83.33
134,94,83.33
128,123,12.5
128,123,13.16
128,123,13.89
128,123,14.71
128,124,15.63
128,124,16.67
128,125,17.86
129,125,20.83
129,126,22.73
129,127,27.78
130,129,41.67
134,134,83.33
147,158,255.0
147,168,255.0
147,178,255.0
147,188,255.0
147,198,255.0
147,209,255.0
147,219,255.0
147,229,255.0
147,239,255.0
147,249,255.0
147,255,255.0
147,255,255.0
147,255,255.0
147,255,255.0
147,255,255.0
147,255,255.0
147,255,255.0
147,255,255.0
147,255,255.0
147,255,255.0
147,255,255.0
147,255,255.0
147,255,255.0
147,255,255.0
147,255,255.0
128,117,8.62
128,117,8.93
128,117,9.26
128,118,9.26
128,119,8.06
128,116,11.9
135,72,62.5
133,85,50.0
133,87,50.0
135,80,62.5
137,67,83.33
137,70,83.33
137,74,83.33
137,77,83.33
137,80,83.33
137,84,83.33
137,87,83.33
137,90,83.33
135,102,62.5
129,123,12.5
129,123,13.16
129,123,13.89
129,123,14.71
129,124,15.63
129,124,16.67
129,125,17.86
129,125,19.23
130,126,22.73
130,127,25.0
131,128,31.25
135,132,62.5
158,158,255.0
158,168,255.0
158,178,255.0
158,188,255.0
158,198,255.0
158,209,255.0
158,219,255.0
158,229,255.0
158,239,255.0
158,249,255.0
158,255,255.0
158,255,255.0
158,255,255.0
158,255,255.0
158,255,255.0
158,255,255.0
158,255,255.0
158,255,255.0
158,255,255.0
158,255,255.0
158,255,255.0
158,255,255.0
158,255,255.0
158,255,255.0
158,255,255.0
128,117,8.62
128,117,8.93
128,117,9.26
128,118,8.62
167,0,250.0
128,120,7.81
137,72,62.5
135,85,50.0
135,87,50.0
140,64,83.33
130,115,16.67
140,70,83.33
140,74,83.33
140,77,83.33
140,80,83.33
131,113,27.78
140,87,83.33
140,90,83.33
137,102,62.5
129,123,12.5
129,123,13.16
129,123,13.89
129,123,14.71
129,124,14.71
130,125,15.63
130,125,16.67
130,125,19.23
130,126,20.83
131,127,25.0
132,128,31.25
134,130,41.67
147,142,125.0
168,168,255.0
168,178,255.0
168,188,255.0
168,198,255.0
168,209,255.0
168,219,255.0
168,229,255.0
168,239,255.0
168,249,255.0
168,255,255.0
168,255,255.0
168,255,255.0
168,255,255.0
168,255,255.0
168,255,255.0
168,255,255.0
168,255,255.0
168,255,255.0
168,255,255.0
168,255,255.0
168,255,255.0
168,255,255.0
168,255,255.0
168,255,255.0
152,0,125.0
178,0,255.0
178,0,255.0
152,2,125.0
144,47,83.33
140,70,62.5
130,116,12.5
135,92,41.67
137,87,50.0
129,120,8.62
144,67,83.33
144,70,83.33
131,115,19.23
144,77,83.33
144,80,83.33
144,84,83.33
133,112,31.25
144,90,83.33
137,107,50.0
144,97,83.33
152,87,125.0
177,57,250.0
130,124,13.89
130,124,14.71
130,125,15.63
130,125,16.67
131,126,17.86
131,126,20.83
132,127,22.73
133,128,27.78
134,130,35.71
144,137,83.33
178,168,255.0
178,178,255.0
178,188,255.0
178,198,255.0
178,209,255.0
178,219,255.0
178,229,255.0
178,239,255.0
178,249,255.0
178,255,255.0
178,255,255.0
178,255,255.0
178,255,255.0
178,255,255.0
178,255,255.0
178,255,255.0
178,255,255.0
178,255,255.0
178,255,255.0
178,255,255.0
178,255,255.0
178,255,255.0
178,255,255.0
178,255,255.0
129,119,7.14
129,119,7.35
129,119,7.58
129,119,7.58
139,79,50.0
139,81,50.0
136,96,35.71
136,97,35.71
137,94,41.67
142,80,62.5
142,82,62.5
147,70,83.33
147,74,83.33
157,52,125.0
187,0,250.0
187,0,250.0
187,7,250.0
187,17,250.0
147,94,83.33
147,97,83.33
157,87,125.0
187,57,250.0
130,124,13.89
131,124,14.71
131,125,15.63
131,125,16.67
131,126,17.86
132,126,20.83
132,127,22.73
134,128,27.78
135,130,31.25
139,133,50.0
187,167,250.0
188,178,255.0
188,188,255.0
188,198,255.0
188,209,255.0
188,219,255.0
188,229,255.0
188,239,255.0
188,249,255.0
188,255,255.0
188,255,255.0
188,255,255.0
188,255,255.0
188,255,255.0
188,255,255.0
188,255,255.0
188,255,255.0
188,255,255.0
188,255,255.0
188,255,255.0
188,255,255.0
188,255,255.0
188,255,255.0
188,255,255.0
134,99,25.0
129,120,6.94
135,98,27.78
130,117,10.0
129,120,7.35
130,117,11.36
136,100,31.25
137,97,35.71
139,94,41.67
141,89,50.0
141,91,50.0
150,70,83.33
162,47,125.0
132,116,17.86
132,116,19.23
133,116,20.83
134,115,25.0
198,15,255.0
197,27,250.0
150,97,83.33
150,100,83.33
162,92,125.0
131,124,13.89
131,124,14.71
131,125,15.63
132,125,16.67
132,126,17.86
132,126,19.23
133,127,22.73
134,128,25.0
136,130,31.25
139,132,41.67
162,147,125.0
198,178,255.0
198,188,255.0
198,198,255.0
198,209,255.0
198,219,255.0
198,229,255.0
198,239,255.0
198,249,255.0
198,255,255.0
198,255,255.0
198,255,255.0
198,255,255.0
198,255,255.0
198,255,255.0
198,255,255.0
198,255,255.0
198,255,255.0
198,255,255.0
198,255,255.0
198,255,255.0
198,255,255.0
198,255,255.0
198,255,255.0
129,120,6.58
129,120,6.76
130,117,9.62
134,104,22.73
135,103,25.0
131,117,11.36
131,117,11.9
131,117,12.5
140,94,41.67
130,120,8.62
130,121,8.93
167,42,125.0
207,0,250.0
130,121,10.42
130,121,10.87
133,118,17.86
134,117,20.83
135,116,25.0
131,122,11.9
138,114,35.71
140,114,41.67
143,113,50.0
154,107,83.33
209,76,255.0
132,125,15.63
132,125,16.67
133,126,17.86
133,126,19.23
134,127,20.83
135,128,25.0
136,129,27.78
138,131,35.71
147,137,62.5
209,178,255.0
209,188,255.0
209,198,255.0
209,209,255.0
209,219,255.0
209,229,255.0
209,239,255.0
209,249,255.0
209,255,255.0
209,255,255.0
209,255,255.0
209,255,255.0
209,255,255.0
209,255,255.0
209,255,255.0
209,255,255.0
209,255,255.0
209,255,255.0
209,255,255.0
209,255,255.0
209,255,255.0
209,255,255.0
209,255,255.0
130,117,8.93
130,117,9.26
134,107,19.23
130,120,6.94
130,120,7.14
130,120,7.35
137,103,27.78
140,97,35.71
130,120,8.62
150,80,62.5
131,119,11.36
131,120,10.87
131,120,11.36
131,120,11.9
132,120,12.5
132,120,13.16
133,118,17.86
131,122,11.9
136,117,25.0
137,117,27.78
138,117,31.25
140,117,35.71
132,123,14.71
157,110,83.33
217,87,250.0
133,125,16.67
133,126,17.86
134,126,19.23
135,127,20.83
135,128,22.73
137,129,27.78
140,131,35.71
145,135,50.0
172,152,125.0
219,188,255.0
219,198,255.0
219,209,255.0
219,219,255.0
219,229,255.0
219,239,255.0
219,249,255.0
219,255,255.0
219,255,255.0
219,255,255.0
219,255,255.0
219,255,255.0
219,255,255.0
219,255,255.0
219,255,255.0
219,255,255.0
219,255,255.0
219,255,255.0
219,255,255.0
219,255,255.0
219,255,255.0
219,255,255.0
134,108,16.67
134,109,16.67
134,108,17.86
134,109,17.86
135,107,20.83
136,106,22.73
138,103,27.78
131,118,10.87
131,119,10.0
160,64,83.33
227,0,250.0
229,0,255.0
229,0,255.0
229,0,255.0
132,120,12.5
132,120,13.16
133,120,13.89
134,120,16.67
135,119,20.83
132,122,13.16
137,119,25.0
138,119,27.78
133,123,15.63
133,124,15.63
160,114,83.33
229,96,255.0
134,126,17.86
134,126,17.86
135,127,20.83
136,128,22.73
138,129,27.78
140,131,31.25
144,134,41.67
160,144,83.33
229,188,255.0
229,198,255.0
229,209,255.0
229,219,255.0
229,229,255.0
229,239,255.0
229,249,255.0
229,255,255.0
229,255,255.0
229,255,255.0
229,255,255.0
229,255,255.0
229,255,255.0
229,255,255.0
229,255,255.0
229,255,255.0
229,255,255.0
229,255,255.0
229,255,255.0
229,255,255.0
229,255,255.0
229,255,255.0
134,110,15.63
134,110,15.63
131,117,10.0
132,117,10.42
135,109,19.23
132,117,10.87
132,117,10.87
131,119,9.62
237,0,250.0
182,32,125.0
237,0,250.0
239,0,255.0
239,0,255.0
239,0,255.0
133,120,12.5
133,120,13.16
133,120,13.89
133,121,14.71
134,121,15.63
133,122,13.89
136,120,20.83
136,121,20.83
135,123,17.86
135,123,17.86
134,124,16.67
182,112,125.0
239,107,255.0
135,126,17.86
135,127,19.23
137,128,22.73
138,129,25.0
141,131,31.25
145,134,41.67
155,140,62.5
239,188,255.0
239,198,255.0
239,209,255.0
239,219,255.0
239,229,255.0
239,239,255.0
239,249,255.0
239,255,255.0
239,255,255.0
239,255,255.0
239,255,255.0
239,255,255.0
239,255,255.0
239,255,255.0
239,255,255.0
239,255,255.0
239,255,255.0
239,255,255.0
239,255,255.0
239,255,255.0
239,255,255.0
239,255,255.0
134,111,14.71
131,117,9.26
135,111,15.63
135,110,16.67
136,110,17.86
132,117,10.87
132,118,10.42
187,22,125.0
151,87,50.0
157,80,62.5
167,67,83.33
187,42,125.0
247,0,250.0
249,0,255.0
249,0,255.0
133,121,12.5
133,121,13.16
134,121,13.89
134,121,14.71
136,121,17.86
135,122,16.67
136,122,17.86
136,122,19.23
137,123,20.83
142,122,31.25
157,120,62.5
247,107,250.0
136,126,17.86
136,127,19.23
137,128,20.83
139,129,25.0
140,130,27.78
144,133,35.71
157,140,62.5
249,188,255.0
249,198,255.0
249,209,255.0
249,219,255.0
249,229,255.0
249,239,255.0
249,249,255.0
249,255,255.0
249,255,255.0
249,255,255.0
249,255,255.0
249,255,255.0
249,255,255.0
249,255,255.0
249,255,255.0
249,255,255.0
249,255,255.0
249,255,255.0
249,255,255.0
249,255,255.0
249,255,255.0
249,255,255.0
131,117,8.62
132,117,9.26
130,120,6.58
131,120,6.76
136,110,17.86
132,117,10.42
140,105,25.0
192,22,125.0
153,87,50.0
160,80,62.5
170,67,83.33
192,42,125.0
255,0,250.0
255,0,255.0
255,0,255.0
255,0,255.0
134,121,13.16
134,121,13.89
135,121,14.71
138,120,20.83
137,121,19.23
136,122,17.86
137,122,19.23
138,123,20.83
139,123,22.73
146,123,35.71
170,120,83.33
255,117,255.0
137,127,19.23
138,128,20.83
139,129,22.73
141,130,27.78
146,133,35.71
153,137,50.0
192,157,125.0
255,198,255.0
255,209,255.0
255,219,255.0
255,229,255.0
255,239,255.0
255,249,255.0
255,255,255.0
255,255,255.0
255,255,255.0
255,255,255.0
255,255,255.0
255,255,255.0
255,255,255.0
255,255,255.0
255,255,255.0
255,255,255.0
255,255,255.0
255,255,255.0
255,255,255.0
255,255,255.0
255,255,255.0
131,120,6.41
135,111,14.71
131,120,6.58
131,120,6.76
131,120,6.94
138,109,19.23
133,118,10.0
145,101,31.25
162,77,62.5
162,80,62.5
174,67,83.33
197,42,125.0
255,0,250.0
255,0,255.0
255,0,255.0
255,0,255.0
255,5,255.0
135,121,13.89
135,121,14.71
139,120,20.83
139,120,20.83
138,122,19.23
138,122,19.23
139,123,20.83
140,123,22.73
141,124,25.0
155,123,50.0
138,126,19.23
138,127,19.23
139,128,20.83
140,129,22.73
141,130,25.0
145,132,31.25
150,135,41.67
174,147,83.33
255,198,255.0
255,209,255.0
255,219,255.0
255,229,255.0
255,239,255.0
255,249,255.0
255,255,255.0
255,255,255.0
255,255,255.0
255,255,255.0
255,255,255.0
255,255,255.0
255,255,255.0
255,255,255.0
255,255,255.0
255,255,255.0
255,255,255.0
255,255,255.0
255,255,255.0
255,255,255.0
255,255,255.0
131,120,6.58
136,111,14.71
133,117,9.26
133,117,9.62
131,120,6.94
133,117,10.42
133,118,10.0
144,104,27.78
177,60,83.33
165,80,62.5
177,67,83.33
202,42,125.0
255,0,250.0
255,0,255.0
255,0,255.0
255,0,255.0
255,5,255.0
135,121,13.89
136,121,14.71
139,120,19.23
137,122,16.67
138,122,17.86
139,122,19.23
140,123,20.83
141,123,22.73
142,124,25.0
144,125,27.78
140,126,20.83
255,127,255.0
140,128,20.83
141,129,22.73
142,130,25.0
146,132,31.25
148,134,35.71
165,142,62.5
255,198,255.0
255,209,255.0
255,219,255.0
255,229,255.0
255,239,255.0
255,249,255.0
255,255,255.0
255,255,255.0
255,255,255.0
255,255,255.0
255,255,255.0
255,255,255.0
255,255,255.0
255,255,255.0
255,255,255.0
255,255,255.0
255,255,255.0
255,255,255.0
255,255,255.0
255,255,255.0
255,255,255.0
131,119,6.76
136,111,14.71
133,118,8.93
131,120,6.76
131,120,6.94
132,120,7.14
133,118,10.0
145,104,27.78
150,98,35.71
167,80,62.5
180,67,83.33
207,42,125.0
255,0,250.0
255,0,255.0
255,0,255.0
255,0,255.0
255,5,255.0
255,15,255.0
136,121,14.71
137,121,15.63
138,122,16.67
138,122,17.86
139,122,19.23
140,123,20.83
142,123,22.73
143,124,25.0
145,125,27.78
159,125,50.0
255,127,250.0
140,128,20.83
142,129,22.73
143,130,25.0
145,131,27.78
150,134,35.71
159,139,50.0
255,197,250.0
255,209,255.0
255,219,255.0
255,229,255.0
255,239,255.0
255,249,255.0
255,255,255.0
255,255,255.0
255,255,255.0
255,255,255.0
255,255,255.0
255,255,255.0
255,255,255.0
255,255,255.0
255,255,255.0
255,255,255.0
255,255,255.0
255,255,255.0
255,255,255.0
255,255,255.0
255,255,255.0
132,119,7.35
132,120,6.94
132,120,6.76
133,118,9.26
132,120,6.94
134,118,10.0
134,118,10.0
144,106,25.0
155,94,41.67
255,0,255.0
255,0,255.0
255,0,255.0
255,0,250.0
255,0,255.0
255,0,255.0
255,0,255.0
255,5,255.0
255,15,255.0
138,121,15.63
138,121,16.67
139,121,17.86
140,122,19.23
141,122,20.83
142,122,22.73
144,123,25.0
146,124,27.78
148,125,31.25
151,126,35.71
142,127,22.73
255,137,255.0
142,129,22.73
142,130,22.73
144,131,25.0
148,133,31.25
161,139,50.0
212,162,125.0
255,209,255.0
255,219,255.0
255,229,255.0
255,239,255.0
255,249,255.0
255,255,255.0
255,255,255.0
255,255,255.0
255,255,255.0
255,255,255.0
255,255,255.0
255,255,255.0
255,255,255.0
255,255,255.0
255,255,255.0
255,255,255.0
255,255,255.0
255,255,255.0
255,255,255.0
255,255,255.0
